number_of_accidents,totalVehicles,totalCasualties,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards
8,13,9,Darkness - no lighting,Fog or mist,Wet or damp,Mud,None
8,8,10,Darkness - lights lit,Fine no high winds,Dry,Road surface defective,Other object on road
8,13,15,Darkness - lights lit,Raining no high winds,Flood over 3cm. deep,None,Other object on road
8,9,8,Darkness - no lighting,Fine no high winds,Frost or ice,None,Any animal in carriageway (except ridden horse)
8,16,15,Darkness - lights lit,Fine + high winds,Wet or damp,Roadworks,None
8,16,14,Darkness - lighting unknown,Snowing no high winds,Frost or ice,None,None
7,11,8,Darkness - lights lit,Other,Dry,None,Other object on road
7,12,9,Daylight,Raining no high winds,Flood over 3cm. deep,Road surface defective,None
7,10,9,Darkness - no lighting,Raining no high winds,Snow,None,None
7,8,8,Darkness - no lighting,Raining no high winds,Wet or damp,None,Pedestrian in carriageway not injured
7,11,9,Darkness - lighting unknown,Fine no high winds,Dry,Road sign or marking defective or obscured,None
7,15,10,Darkness - lights lit,Fine no high winds,Frost or ice,Roadworks,None
7,8,9,Daylight,Other,Wet or damp,None,Any animal in carriageway (except ridden horse)
7,15,9,Daylight,Snowing no high winds,Wet or damp,Roadworks,None
7,10,7,Darkness - lighting unknown,Raining no high winds,Wet or damp,Road surface defective,None
7,11,12,Daylight,Raining no high winds,Dry,None,Vehicle load on road
7,10,8,Darkness - lighting unknown,Raining no high winds,Flood over 3cm. deep,None,None
7,16,8,Daylight,Other,Dry,None,Vehicle load on road
7,10,10,Darkness - lights unlit,Fine no high winds,Wet or damp,None,Other object on road
7,8,8,Darkness - no lighting,Fine no high winds,Frost or ice,Mud,None
7,10,7,Darkness - lighting unknown,Fog or mist,Frost or ice,None,None
7,12,7,Daylight,Raining + high winds,Wet or damp,Auto traffic signal - out,None
7,11,9,Daylight,Raining no high winds,Flood over 3cm. deep,None,Other object on road
7,23,11,Daylight,Other,Frost or ice,None,Previous accident
7,11,11,Daylight,Fine no high winds,Wet or damp,Oil or diesel,Other object on road
7,9,10,Darkness - no lighting,Other,Snow,None,None
7,10,11,Darkness - no lighting,Raining no high winds,Flood over 3cm. deep,None,Other object on road
7,12,13,Darkness - lights lit,Raining + high winds,Frost or ice,None,None
7,13,8,Darkness - lights lit,Fog or mist,Wet or damp,Roadworks,None
6,9,7,Darkness - lights unlit,Snowing + high winds,Snow,None,None
6,8,6,Darkness - lighting unknown,Raining + high winds,Wet or damp,None,Other object on road
6,10,8,Darkness - lighting unknown,Fine no high winds,Snow,None,None
6,8,8,Darkness - lights unlit,Raining no high winds,Wet or damp,Road surface defective,None
6,10,7,Darkness - lighting unknown,Raining no high winds,Wet or damp,Mud,None
6,10,8,Darkness - lights unlit,Snowing no high winds,Snow,None,None
6,9,10,Darkness - no lighting,Raining no high winds,Wet or damp,Road sign or marking defective or obscured,None
6,9,8,Darkness - lights unlit,Fog or mist,Dry,None,None
6,11,6,Darkness - lights lit,Fine + high winds,Snow,None,None
6,14,8,Darkness - lighting unknown,Raining no high winds,Wet or damp,Auto traffic signal - out,None
6,18,17,Darkness - no lighting,Fine no high winds,Wet or damp,Roadworks,Previous accident
6,11,15,Daylight,Fine no high winds,Frost or ice,None,Vehicle load on road
6,20,11,Daylight,Fine no high winds,Dry,Roadworks,Previous accident
6,6,7,Darkness - lights unlit,Fine no high winds,Dry,None,Pedestrian in carriageway not injured
